,do_nothing,mine_minerals,mine_gas,build_assimilator,build_pylon,build_gateway,build_cybercore,train_probe,train_zealot,train_stalker,harass,attack_all
[18  1  0  0 20  1  1  1],0.0,1.840293293149849e-06,5.8428099467599635e-06,4.755157777132606e-06,3.957639349999757e-05,0.0,4.544472561895845e-06,3.5618754149997815e-06,1.048035301398548e-05,4.495422689469739e-06,8.48908594132824e-08,0.0
[17  1  0  0 20  1  1  1],1.528672450177212e-06,3.5647282228656745e-06,0.0,1.9969209612436865e-08,4.0415799535894437e-07,4.258305080093159e-07,3.9599655987299734e-08,2.6700453501366106e-06,3.221724299554959e-06,0.0,2.403040815122949e-07,4.046373109715928e-05
[18  1  1  0 20  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[17  1  1  0 18  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[19  1  1  0 18  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[18  1  1  0 18  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[17  1  1  0 26  1  1  2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[18  1  1  0 26  1  1  2],0.0,0.0,1.882626798489854e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[17  2  1  0 26  1  1  2],0.0,0.0,0.0,0.0,0.00011575449456018347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[18  2  1  0 26  1  1  2],0.0,0.0,0.0,0.0,0.0,0.0,5.840982335469104e-07,0.0,0.0,0.0,0.0,0.0
[17  2  1  1 21  1  1  2],0.004645802873419078,0.017936476139964654,0.008283264199151277,0.004645802873419078,0.05778584216424644,0.014841564212522298,0.004645802873419078,0.005700677349083572,0.003127113778905384,0.0029701767928819018,0.0,0.006963315849991417
[18  2  1  1 21  1  1  2],0.02199655712446338,0.04214288326759267,0.004981994743994643,0.029274891951303714,0.023810092783829517,0.03312719022517363,0.09203626887945864,0.022496518650888905,0.04681292053961979,0.014172073019872309,0.031207751234082176,0.03220148062897539
[19  2  1  1 21  1  1  2],0.027730296999637912,0.022140596865425282,0.012489688987730993,0.018572562943182925,0.033257709460055324,0.03490325421143396,0.0007335543895920001,0.034659568460061706,0.11027428425449708,0.0,0.0,0.019411397105128767
[18  2  1  2 19  1  1  2],0.22307295182183354,0.18619438690071752,0.259985564594832,-0.38341141971517684,0.19226547504899882,0.3049569527698952,0.2505333762197307,0.0783194193254857,0.24635392186930993,0.4199152399261182,0.11439126241125003,0.2028552975343007
